,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
161,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
162,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
163,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
164,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
165,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
166,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
167,,"6""
(Weldolet)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,6,6,관리소,B,0,,0,0,B,
168,,,,,,,1,주배관,,,,,,,0,,6,주배관,B,0,,0,0,,
169,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,6,관리소,B,0,,0,0,,
170,,,,,,,1.4,주배관,,,,,,,0,,6,주배관,B,0,,0,0,,
171,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,6,관리소,B,0,,0,0,,
172,,,,,,,1.3,주배관,,,,,,,0,,6,주배관,B,0,,0,0,,
173,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,6,관리소,B,0,,0,0,,
174,,,,,,,1.8199999999999998,주배관,,,,,,,0,,6,주배관,B,0,,0,0,,
175,,"4""
(Weldolet)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,14,,,,,,14,6,6,관리소,A,84,,84,84,A,투과두께 : 6.0mm × 2(이중벽) = 12.0mm
176,,,,,,,1,주배관,,,,,,,0,,6,주배관,A,0,,0,0,,
177,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,6,관리소,A,0,,0,0,,
178,6.0,,,,,,1.4,주배관,,,,,,,0,,6,주배관,A,0,,0,0,,
179,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,6,관리소,A,0,,0,0,,
180,,,,,,,1.3,주배관,,,,,,,0,,6,주배관,A,0,,0,0,,
181,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,6,관리소,A,0,,0,0,,
182,,,,,,,1.8199999999999998,주배관,,,,,,,0,,6,주배관,A,0,,0,0,,
183,,"2""
(Weldolet)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,60,,,,,,60,4,4,관리소,A,240,,240,240,A,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
